'CODIGO';'VALOR'
'A00';'Cólera'
'A01';'Fiebres tifoidea y paratifoidea'
'A02';'Otras infecciones debidas a Salmonella'
'A03';'Shigelosis'
'A04';'Otras infecciones intestinales bacterianas'
'A05';'Otras intoxicaciones alimentarias bacterianas no clasificadas en otra parte'
'A06';'Amebiasis'
'A07';'Otras enfermedades intestinales debidas a protozoarios'
'A08';'Infecciones intestinales debidas a virus y otros organismos especificados'
'A09';'Otras gastroenteritis y colitis de origen infeccioso y no especificado'
'A15';'Tuberculosis respiratoria confirmada bacteriológica e histológicamente'
'A16';'Tuberculosis respiratoria no confirmada bacteriológica o histológicamente'
'A17';'Tuberculosis del sistema nervioso'
'A18';'Tuberculosis de otros órganos'
'A19';'Tuberculosis miliar'
'A20';'Peste'
'A21';'Tularemia'
'A22';'Carbunco [ántrax]'
'A23';'Brucelosis'
'A24';'Muermo y melioidosis'
'A25';'Fiebre por mordedura de rata'
'A26';'Erisipeloide'
'A27';'Leptospirosis'
'A28';'Otras enfermedades zoonóticas bacterianas no clasificadas en otra parte'
'A30';'Lepra [enfermedad de Hansen]'
'A31';'Infecciones debidas a otras micobacterias'
'A32';'Listeriosis'
'A33';'Tétanos neonatal'
'A34';'Tétanos obstétrico'
'A35';'Otros tétanos'
'A36';'Difteria'
'A37';'Tos ferina [tos convulsiva]'
'A38';'Escarlatina'
'A39';'Enfermedad meningocócica'
'A40';'Sepsis estreptocócica'
'A41';'Otras Sepsis'
'A42';'Actinomicosis'
'A43';'Nocardiosis'
'A44';'Bartonelosis'
'A46';'Erisipela'
'A48';'Otras enfermedades bacterianas no clasificadas en otra parte'
'A49';'Infección bacteriana de sitio no especificado'
'A50';'Sífilis congénita'
'A51';'Sífilis precoz'
'A52';'Sífilis tardía'
'A53';'Otras sífilis y las no especificadas'
'A54';'Infección gonocócica'
'A55';'Linfogranuloma (venéreo) por clamidias'
'A56';'Otras enfermedades de transmisión sexual debidas a clamidias'
'A57';'Chancro blando'
'A58';'Granuloma inguinal'
'A59';'Tricomoniasis'
'A60';'Infección anogenital debida a virus del herpes [herpes simple]'
'A63';'Otras enfermedades de transmisión predominantemente sexual no clasificadas en otra parte'
'A64';'Enfermedad de transmisión sexual no especificada'
'A65';'Sífilis no venérea'
'A66';'Frambesia'
'A67';'Pinta [carate]'
'A68';'Fiebres recurrentes'
'A69';'Otras infecciones causadas por espiroquetas'
'A70';'Infeccion debida a Chlamydia psittaci'
'A71';'Tracoma'
'A74';'Otras enfermedades causadas por clamidias'
'A75';'Tifus'
'A77';'Fiebre maculosa [rickettsiosis transmitida por garrapatas]'
'A78';'Fiebre Q'
'A79';'Otras rickettsiosis'
'A80';'Poliomielitis aguda'
'A81';'Infecciones del sistema nervioso central por virus atípico'
'A82';'Rabia'
'A83';'Encefalitis viral transmitida por mosquitos'
'A84';'Encefalitis viral transmitida por garrapatas'
'A85';'Otras encefalitis virales no clasificadas en otra parte'
'A86';'Encefalitis viral no especificada'
'A87';'Meningitis viral'
'A88';'Otras infecciones virales del sistema nervioso central no clasificadas en otra parte'
'A89';'Infección viral del sistema nervioso central no especificada'
'A90';'Fiebre del dengue [dengue clásico]'
'A91';'Fiebre del dengue hemorrágico'
'A92';'Otras fiebres virales transmitidas por mosquitos'
'A93';'Otras fiebres virales transmitidas por artrópodos no clasificadas en otra parte'
'A94';'Fiebre viral transmitida por artrópodos no especificada'
'A95';'Fiebre amarilla'
'A96';'Fiebre hemorrágica por arenavirus'
'A98';'Otras fiebres virales hemorrágicas no clasificadas en otra parte'
'A99';'Fiebre viral hemorrágica no especificada'
'B00';'Infecciones herpética [herpes simple]'
'B01';'Varicela'
'B02';'Herpes zoster'
'B03';'Viruela'
'B04';'Viruela de los monos'
'B05';'Sarampión'
'B06';'Rubéola [sarampión alemán]'
'B07';'Verrugas víricas'
'B08';'Otras infeciones víricas caracterizadas por lesiones de la piel y de las membranas mucosas no clasificadas en otra parte'
'B09';'Infección viral no especificada caracterizada por lesiones de la piel y de las membranas mucosas'
'B15';'Hepatitis aguda tipo A'
'B16';'Hepatitis aguda tipo B'
'B17';'Otras hepatitis virales agudas'
'B18';'Hepatitis viral crónica'
'B19';'Hepatitis viral sin otra especificación'
'B20';'Enfermedad por virus de la inmunodeficiencia humana [VIH] resultante en enfermedades infecciosas y parasitarias'
'B21';'Enfermedad por virus de la inmunodeficiencia humana [VIH] resultante  en tumores malignos'
'B22';'Enfermedad por virus de la inmunodeficiencia humana [VIH] resultante en otras enfermedades especificadas'
'B23';'Enfermedad por virus de la inmunodeficiencia humana [VIH] resultante en otras afecciones'
'B24';'Enfermedad por virus de la inmunodeficiencia humana [VIH] sin otra especificación'
'B25';'Enfermedad debida a virus citomegálico'
'B26';'Parotiditis infecciosa'
'B27';'Mononucleosis infecciosa'
'B30';'Conjuntivitis viral'
'B33';'Otras enfermedades virales no clasificadas en otra parte'
'B34';'Infección viral de sitio no especificado'
'B35';'Dermatofitosis'
'B36';'Otras micosis superficiales'
'B37';'Candidiasis'
'B38';'Coccidioidomicosis'
'B39';'Histoplasmosis'
'B40';'Blastomicosis'
'B41';'Paracoccidioidomicosis'
'B42';'Esporotricosis'
'B43';'Cromomicosis y absceso feomicótico'
'B44';'Aspergilosis'
'B45';'Criptococosis'
'B46';'Cigomicosis'
'B47';'Micetoma'
'B48';'Otras micosis no clasificadas en otra parte'
'B49';'Micosis no especificada'
'B50';'Paludismo [malaria] debido a Plasmodium falciparum'
