GRUPEDAD;2017;2018;2019;2020;2021;2022;2023
01_Menor de 1 año;0;0;0;0;0;0;0
02_1 a 9;0;0;0;2;3;0;0
03_10 a 14;74;57;66;45;68;60;62
04_15 a 19;390;397;393;341;301;334;324
05_20 a 24;480;488;475;415;410;478;535
06_25 a 29;369;403;410;353;365;454;495
07_30 a 34;255;301;320;269;278;342;412
08_35 a 39;285;263;240;247;241;242;272
09_40 a 44;206;224;216;189;183;204;261
10_45 a 49;172;188;179;153;157;205;202
11_50 a 54;174;191;197;131;149;154;149
12_55 a 59;176;170;160;120;139;148;162
13_60 a 64;167;122;149;142;149;138;123
14_65 a 69;129;135;130;118;98;120;128
15_70 a 74;101;102;112;95;102;109;99
16_75 a 79;90;102;99;85;70;93;101
17_80 y más;121;139;113;119;117;113;128
99_Sin especificar;33;40;38;47;34;27;35
