GRUPEDAD;2017;2018;2019;2020;2021;2022;2023
01_Menor de 1 año;3;2;1;1;1;1;0
02_1 a 9;6;2;6;1;2;1;1
03_10 a 14;1;1;1;1;0;1;2
04_15 a 19;13;4;6;8;4;1;3
05_20 a 24;51;52;41;28;34;19;34
06_25 a 29;103;93;100;87;75;76;83
07_30 a 34;135;126;111;105;118;118;99
08_35 a 39;178;188;159;144;146;136;129
09_40 a 44;208;204;181;167;176;158;142
10_45 a 49;263;198;187;173;217;178;149
11_50 a 54;157;169;165;136;165;130;149
12_55 a 59;124;101;121;100;129;135;115
13_60 a 64;86;73;76;66;64;89;79
14_65 a 69;60;62;43;48;53;61;34
15_70 a 74;38;32;24;28;37;32;42
16_75 a 79;6;12;20;11;13;16;20
17_80 y más;13;11;13;13;16;13;11
99_Sin especificar;13;9;10;22;10;9;10
