PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
06;2;C73;NULL;17_80 y más;19
74;1;W13;NULL;14_65 a 69;1
82;1;B18;NULL;11_50 a 54;1
50;1;I61;NULL;16_75 a 79;19
38;2;L98;NULL;09_40 a 44;1
82;1;J86;NULL;17_80 y más;2
82;1;N32;NULL;16_75 a 79;1
06;1;C41;NULL;99_Sin especificar;2
10;1;V23;NULL;13_60 a 64;1
82;1;D43;NULL;08_35 a 39;1
62;2;V44;NULL;05_20 a 24;1
82;2;J69;NULL;11_50 a 54;1
90;2;C53;NULL;15_70 a 74;2
06;2;C15;NULL;15_70 a 74;16
66;2;L08;NULL;13_60 a 64;3
62;2;G98;NULL;14_65 a 69;1
82;1;C21;NULL;09_40 a 44;1
82;1;C85;NULL;15_70 a 74;9
82;1;C41;NULL;11_50 a 54;2
86;2;J80;NULL;17_80 y más;1
90;1;C85;NULL;07_30 a 34;1
62;2;E14;NULL;13_60 a 64;3
82;2;J81;NULL;14_65 a 69;3
34;1;Y83;NULL;08_35 a 39;1
82;1;C26;NULL;17_80 y más;1
66;2;J22;NULL;16_75 a 79;1
30;1;Y20;NULL;13_60 a 64;2
22;1;Y43;NULL;04_15 a 19;1
02;2;D00;NULL;13_60 a 64;1
58;1;V48;NULL;04_15 a 19;1
86;2;J96;NULL;05_20 a 24;1
82;1;R64;NULL;16_75 a 79;2
70;2;B24;NULL;12_55 a 59;1
02;2;J46;NULL;08_35 a 39;1
30;2;C64;NULL;12_55 a 59;2
46;1;I42;NULL;14_65 a 69;1
70;1;I47;NULL;12_55 a 59;1
58;2;U07;NULL;14_65 a 69;55
18;1;D41;NULL;15_70 a 74;1
62;2;I61;NULL;10_45 a 49;1
02;1;J96;NULL;12_55 a 59;9
30;1;W69;NULL;11_50 a 54;1
58;2;I77;NULL;15_70 a 74;1
90;1;Y83;NULL;15_70 a 74;2
30;1;A49;NULL;13_60 a 64;1
06;1;J15;NULL;17_80 y más;127
30;1;C64;NULL;14_65 a 69;4
26;2;V49;NULL;07_30 a 34;1
06;1;L02;NULL;17_80 y más;1
30;1;I49;NULL;17_80 y más;6
14;2;C64;NULL;07_30 a 34;1
66;1;D41;NULL;11_50 a 54;1
06;1;V89;NULL;02_1 a 9;1
14;2;I99;NULL;14_65 a 69;1
54;2;J98;NULL;14_65 a 69;1
62;1;K74;NULL;15_70 a 74;6
86;2;C54;NULL;13_60 a 64;1
06;2;Q79;NULL;04_15 a 19;1
02;1;C80;NULL;02_1 a 9;2
06;1;I31;NULL;17_80 y más;10
06;2;E87;NULL;12_55 a 59;3
99;1;I05;NULL;15_70 a 74;1
18;1;K65;NULL;17_80 y más;5
70;1;R99;NULL;17_80 y más;10
06;2;E83;NULL;13_60 a 64;1
74;1;I67;NULL;11_50 a 54;1
06;2;F51;NULL;17_80 y más;2
06;2;J18;NULL;16_75 a 79;693
70;2;C22;NULL;17_80 y más;7
90;1;N18;NULL;17_80 y más;7
06;2;K44;NULL;16_75 a 79;3
38;2;E11;NULL;17_80 y más;4
82;1;W74;NULL;11_50 a 54;1
66;1;V24;NULL;07_30 a 34;1
02;1;D04;NULL;17_80 y más;1
02;1;C61;NULL;16_75 a 79;54
30;1;M13;NULL;15_70 a 74;1
30;1;M33;NULL;16_75 a 79;1
18;1;I42;NULL;10_45 a 49;2
50;1;I12;NULL;16_75 a 79;4
22;1;J84;NULL;14_65 a 69;1
82;1;C90;NULL;08_35 a 39;1
50;1;M06;NULL;16_75 a 79;2
02;1;R58;NULL;17_80 y más;4
90;2;C80;NULL;14_65 a 69;5
34;2;E14;NULL;13_60 a 64;9
78;1;N18;NULL;15_70 a 74;1
30;2;G37;NULL;13_60 a 64;1
26;1;F03;NULL;15_70 a 74;1
86;1;C16;NULL;16_75 a 79;1
70;1;R57;NULL;15_70 a 74;2
02;2;W79;NULL;13_60 a 64;1
58;2;C18;NULL;10_45 a 49;2
38;2;J96;NULL;11_50 a 54;2
74;1;C61;NULL;14_65 a 69;6
82;2;R57;NULL;13_60 a 64;3
06;1;I63;NULL;06_25 a 29;1
99;1;K25;NULL;17_80 y más;1
82;1;J22;NULL;01_Menor de 1 año;1
18;2;C24;NULL;16_75 a 79;2
46;2;I51;NULL;17_80 y más;1
54;2;C22;NULL;15_70 a 74;3
82;1;J15;NULL;09_40 a 44;4
06;1;C90;NULL;04_15 a 19;1
22;1;C25;NULL;11_50 a 54;5
38;1;V68;NULL;11_50 a 54;1
42;2;I47;NULL;12_55 a 59;1
46;1;N39;NULL;13_60 a 64;1
74;1;F20;NULL;16_75 a 79;1
78;1;C34;NULL;14_65 a 69;4
66;1;B20;NULL;09_40 a 44;5
90;1;E14;NULL;17_80 y más;37
02;2;E88;NULL;02_1 a 9;1
26;2;C18;NULL;07_30 a 34;1
14;2;D80;NULL;03_10 a 14;1
06;1;Y09;NULL;14_65 a 69;1
42;1;J44;NULL;12_55 a 59;2
02;2;C51;NULL;13_60 a 64;1
58;2;I60;NULL;15_70 a 74;3
74;2;Q20;NULL;01_Menor de 1 año;1
06;2;X70;NULL;05_20 a 24;7
10;2;I50;NULL;14_65 a 69;2
18;2;C55;NULL;16_75 a 79;4
06;2;O72;M;09_40 a 44;3
26;1;K70;NULL;11_50 a 54;7
14;2;C54;NULL;12_55 a 59;5
46;1;J64;NULL;17_80 y más;1
86;1;W74;NULL;05_20 a 24;1
66;2;J84;NULL;15_70 a 74;4
94;2;C20;NULL;10_45 a 49;1
58;2;K85;NULL;14_65 a 69;1
46;1;K92;NULL;12_55 a 59;4
82;1;C71;NULL;16_75 a 79;1
86;2;I25;NULL;15_70 a 74;3
50;1;C17;NULL;14_65 a 69;1
70;2;K46;NULL;17_80 y más;1
06;1;K72;NULL;04_15 a 19;1
50;2;A09;NULL;14_65 a 69;1
14;1;N49;NULL;13_60 a 64;1
14;1;C20;NULL;15_70 a 74;4
42;1;I35;NULL;16_75 a 79;1
30;1;I25;NULL;14_65 a 69;8
22;1;I26;NULL;17_80 y más;2
54;2;N18;NULL;08_35 a 39;1
62;1;F29;NULL;17_80 y más;2
06;2;E84;NULL;03_10 a 14;1
54;1;C43;NULL;13_60 a 64;2
66;1;C23;NULL;15_70 a 74;1
62;1;N18;NULL;17_80 y más;21
62;1;J90;NULL;16_75 a 79;1
30;1;X70;NULL;07_30 a 34;6
66;2;I64;NULL;17_80 y más;59
14;2;A49;NULL;17_80 y más;1
38;1;K26;NULL;05_20 a 24;1
34;1;E14;NULL;08_35 a 39;2
14;2;G93;NULL;14_65 a 69;2
14;2;P77;NULL;01_Menor de 1 año;7
82;2;I85;NULL;08_35 a 39;1
50;1;I61;NULL;13_60 a 64;11
70;2;K29;NULL;15_70 a 74;1
14;1;L08;NULL;16_75 a 79;2
86;2;M80;NULL;08_35 a 39;1
06;1;J43;NULL;14_65 a 69;9
06;2;J45;NULL;14_65 a 69;5
34;1;B57;NULL;11_50 a 54;1
94;2;I85;NULL;10_45 a 49;1
06;9;K55;NULL;15_70 a 74;1
58;2;X70;NULL;12_55 a 59;1
38;1;C91;NULL;05_20 a 24;1
70;2;C50;NULL;13_60 a 64;6
78;1;U07;NULL;09_40 a 44;12
22;1;N17;NULL;17_80 y más;5
26;2;K92;NULL;15_70 a 74;1
34;2;I34;NULL;10_45 a 49;1
70;2;I21;NULL;10_45 a 49;2
02;2;I72;NULL;14_65 a 69;1
46;1;K72;NULL;13_60 a 64;1
50;1;C91;NULL;17_80 y más;2
66;1;I38;NULL;17_80 y más;3
06;1;B37;NULL;16_75 a 79;1
06;1;Y17;NULL;07_30 a 34;2
18;1;C18;NULL;12_55 a 59;8
34;1;K70;NULL;09_40 a 44;2
66;2;X70;NULL;07_30 a 34;6
94;1;X70;NULL;07_30 a 34;1
34;2;J18;NULL;08_35 a 39;1
99;2;I21;NULL;16_75 a 79;1
58;2;X08;NULL;11_50 a 54;1
34;2;R99;NULL;14_65 a 69;2
46;1;I25;NULL;15_70 a 74;1
02;2;A41;NULL;14_65 a 69;44
66;1;L97;NULL;17_80 y más;2
14;1;I38;NULL;15_70 a 74;1
54;1;X74;NULL;05_20 a 24;1
46;2;I64;NULL;16_75 a 79;5
82;1;W17;NULL;16_75 a 79;2
50;1;I21;NULL;17_80 y más;157
50;2;J46;NULL;15_70 a 74;1
66;1;U07;NULL;06_25 a 29;6
66;2;Q03;NULL;03_10 a 14;1
58;2;D61;NULL;02_1 a 9;1
30;1;R96;NULL;16_75 a 79;4
06;2;I61;NULL;11_50 a 54;37
66;2;J44;NULL;17_80 y más;35
70;2;C75;NULL;15_70 a 74;1
74;1;C22;NULL;13_60 a 64;2
82;1;J81;NULL;16_75 a 79;8
82;2;C23;NULL;12_55 a 59;2
50;1;I67;NULL;16_75 a 79;20
50;2;I11;NULL;09_40 a 44;1
90;1;J96;NULL;06_25 a 29;2
