PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
14;2;G93;NULL;14_65 a 69;1
14;1;V58;NULL;10_45 a 49;1
50;1;I61;NULL;13_60 a 64;19
14;2;P77;NULL;01_Menor de 1 año;7
14;1;L08;NULL;16_75 a 79;6
30;2;X84;NULL;03_10 a 14;1
06;1;J43;NULL;14_65 a 69;6
06;2;J45;NULL;14_65 a 69;10
06;1;C76;NULL;07_30 a 34;1
02;1;G10;NULL;13_60 a 64;1
70;2;C50;NULL;13_60 a 64;15
18;1;V49;NULL;12_55 a 59;1
26;2;K92;NULL;15_70 a 74;3
18;1;E10;NULL;08_35 a 39;1
94;1;C62;NULL;09_40 a 44;1
22;1;N17;NULL;17_80 y más;4
66;1;E46;NULL;15_70 a 74;4
06;1;E88;NULL;06_25 a 29;1
38;2;A09;NULL;10_45 a 49;1
14;1;W13;NULL;11_50 a 54;1
50;1;C91;NULL;17_80 y más;3
66;1;I38;NULL;17_80 y más;1
46;1;K72;NULL;13_60 a 64;1
06;1;B37;NULL;16_75 a 79;1
18;1;C18;NULL;12_55 a 59;4
66;2;X70;NULL;07_30 a 34;4
06;1;W06;NULL;14_65 a 69;2
06;2;A09;NULL;03_10 a 14;2
06;1;Y17;NULL;07_30 a 34;2
99;2;I21;NULL;13_60 a 64;1
54;2;X91;NULL;04_15 a 19;1
34;2;J18;NULL;08_35 a 39;3
94;1;X70;NULL;07_30 a 34;2
46;1;V89;NULL;04_15 a 19;1
99;2;I21;NULL;16_75 a 79;4
34;2;R99;NULL;14_65 a 69;1
66;1;W84;NULL;09_40 a 44;1
46;1;I25;NULL;15_70 a 74;4
02;2;A41;NULL;14_65 a 69;57
06;2;D61;NULL;05_20 a 24;1
54;1;X74;NULL;05_20 a 24;1
10;2;N28;NULL;16_75 a 79;1
14;1;I38;NULL;15_70 a 74;1
50;1;I21;NULL;17_80 y más;168
82;1;W17;NULL;16_75 a 79;1
46;2;I64;NULL;16_75 a 79;3
38;1;P21;NULL;01_Menor de 1 año;1
78;1;K81;NULL;16_75 a 79;1
50;1;W17;NULL;03_10 a 14;1
30;1;R96;NULL;16_75 a 79;4
66;2;J44;NULL;17_80 y más;18
38;1;N41;NULL;17_80 y más;1
22;2;D41;NULL;13_60 a 64;1
06;2;I61;NULL;11_50 a 54;32
06;1;I07;NULL;13_60 a 64;1
82;1;J81;NULL;16_75 a 79;11
90;1;J96;NULL;06_25 a 29;1
82;2;C23;NULL;12_55 a 59;1
74;1;C22;NULL;13_60 a 64;1
50;1;I67;NULL;16_75 a 79;21
99;2;I49;NULL;99_Sin especificar;2
82;2;J40;NULL;17_80 y más;4
54;2;C53;NULL;12_55 a 59;12
90;2;N19;NULL;12_55 a 59;2
82;1;V43;NULL;17_80 y más;1
26;2;C23;NULL;14_65 a 69;1
70;1;I25;NULL;16_75 a 79;16
14;2;C71;NULL;07_30 a 34;1
42;1;J98;NULL;14_65 a 69;2
54;1;B21;NULL;15_70 a 74;1
50;1;I21;NULL;15_70 a 74;78
58;1;C92;NULL;10_45 a 49;2
06;1;L08;NULL;07_30 a 34;4
02;1;B23;NULL;15_70 a 74;1
06;2;J39;NULL;12_55 a 59;2
70;2;R57;NULL;17_80 y más;2
30;2;C18;NULL;10_45 a 49;2
06;1;J44;NULL;99_Sin especificar;7
54;2;K72;NULL;11_50 a 54;1
50;2;I49;NULL;11_50 a 54;1
30;2;G93;NULL;06_25 a 29;2
86;2;N19;NULL;15_70 a 74;2
66;2;I11;NULL;11_50 a 54;1
34;2;C26;NULL;14_65 a 69;1
66;2;X70;NULL;09_40 a 44;2
54;2;C22;NULL;13_60 a 64;4
02;1;I42;NULL;15_70 a 74;147
62;1;L08;NULL;16_75 a 79;1
26;1;I21;NULL;12_55 a 59;5
14;1;I38;NULL;17_80 y más;3
06;2;A49;NULL;14_65 a 69;1
38;2;K74;NULL;07_30 a 34;1
74;2;J18;NULL;09_40 a 44;1
30;1;N18;NULL;16_75 a 79;4
02;1;R10;NULL;13_60 a 64;1
99;2;K25;NULL;16_75 a 79;1
99;1;N17;NULL;09_40 a 44;1
34;2;I51;NULL;15_70 a 74;1
50;1;W19;NULL;08_35 a 39;1
82;1;I71;NULL;08_35 a 39;2
38;1;V04;NULL;12_55 a 59;1
86;2;K29;NULL;17_80 y más;2
62;2;K80;NULL;17_80 y más;1
90;1;M48;NULL;09_40 a 44;1
30;1;R99;NULL;10_45 a 49;28
38;1;E11;NULL;17_80 y más;2
02;2;J13;NULL;17_80 y más;1
06;1;X09;NULL;02_1 a 9;1
10;1;V47;NULL;06_25 a 29;1
14;1;V24;NULL;10_45 a 49;1
86;1;J22;NULL;04_15 a 19;1
82;2;E78;NULL;09_40 a 44;1
82;2;X78;NULL;12_55 a 59;1
34;2;D06;NULL;09_40 a 44;2
78;1;C18;NULL;09_40 a 44;1
30;1;I62;NULL;15_70 a 74;2
