"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"02","1","A09","","12_55 a 59","1"
"02","1","A09","","17_80 y más","3"
"02","1","A16","","15_70 a 74","3"
"02","1","A19","","07_30 a 34","1"
"02","1","A41","","05_20 a 24","1"
"02","1","A41","","06_25 a 29","3"
"02","1","A41","","10_45 a 49","10"
"02","1","A41","","12_55 a 59","10"
"02","1","A41","","13_60 a 64","32"
"02","1","A49","","13_60 a 64","2"
"02","1","B18","","10_45 a 49","1"
"02","1","B18","","13_60 a 64","1"
"02","1","B20","","07_30 a 34","2"
"02","1","B20","","09_40 a 44","2"
"02","1","B23","","07_30 a 34","3"
"02","1","B23","","09_40 a 44","2"
"02","1","B25","","14_65 a 69","1"
"02","1","B45","","11_50 a 54","1"
"02","1","B99","","09_40 a 44","1"
"02","1","C04","","16_75 a 79","1"
"02","1","C11","","10_45 a 49","1"
"02","1","C13","","11_50 a 54","1"
"02","1","C14","","12_55 a 59","1"
"02","1","C15","","17_80 y más","14"
"02","1","C17","","14_65 a 69","1"
"02","1","C17","","15_70 a 74","1"
"02","1","C18","","12_55 a 59","22"
"02","1","C18","","17_80 y más","87"
"02","1","C19","","14_65 a 69","4"
"02","1","C20","","14_65 a 69","7"
"02","1","C20","","15_70 a 74","4"
"02","1","C22","","11_50 a 54","4"
"02","1","C23","","15_70 a 74","3"
"02","1","C24","","10_45 a 49","1"
"02","1","C24","","13_60 a 64","2"
"02","1","C24","","16_75 a 79","4"
"02","1","C25","","08_35 a 39","3"
"02","1","C25","","10_45 a 49","3"
"02","1","C25","","16_75 a 79","22"
"02","1","C26","","14_65 a 69","1"
"02","1","C26","","15_70 a 74","2"
"02","1","C30","","15_70 a 74","1"
"02","1","C34","","13_60 a 64","89"
"02","1","C41","","12_55 a 59","1"
"02","1","C43","","16_75 a 79","4"
"02","1","C49","","11_50 a 54","1"
"02","1","C49","","14_65 a 69","1"
"02","1","C50","","14_65 a 69","1"
"02","1","C60","","10_45 a 49","1"
"02","1","C61","","14_65 a 69","34"
"02","1","C62","","07_30 a 34","1"
"02","1","C66","","13_60 a 64","1"
"02","1","C67","","17_80 y más","37"
"02","1","C68","","09_40 a 44","1"
"02","1","C76","","16_75 a 79","3"
"02","1","C80","","16_75 a 79","18"
"02","1","C81","","06_25 a 29","1"
"02","1","C81","","13_60 a 64","2"
"02","1","C82","","12_55 a 59","1"
"02","1","C82","","17_80 y más","1"
"02","1","C83","","16_75 a 79","3"
"02","1","C90","","10_45 a 49","2"
"02","1","C90","","12_55 a 59","4"
"02","1","C90","","13_60 a 64","5"
"02","1","C91","","14_65 a 69","2"
"02","1","C92","","02_1 a 9","1"
"02","1","C92","","07_30 a 34","2"
"02","1","D09","","17_80 y más","1"
